Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,mmy,mmy2
Bmw,1-Series-M,2011,premium unleaded (required),335.0,6.0,MANUAL,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,26,19,3916,46135,Bmw 1-Series-M 2011,Bmw 1-Series-M 2011
Bmw,1-Series,2011,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,28,19,3916,40650,Bmw 1-Series 2011,Bmw 1-Series 2011
Bmw,1-Series,2011,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,36350,Bmw 1-Series 2011,Bmw 1-Series 2011
Bmw,1-Series,2011,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,18,3916,29450,Bmw 1-Series 2011,Bmw 1-Series 2011
Bmw,1-Series,2011,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,28,18,3916,34500,Bmw 1-Series 2011,Bmw 1-Series 2011
Bmw,1-Series,2012,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,18,3916,31200,Bmw 1-Series 2012,Bmw 1-Series 2012
Bmw,1-Series,2012,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,26,17,3916,44100,Bmw 1-Series 2012,Bmw 1-Series 2012
Bmw,1-Series,2012,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,39300,Bmw 1-Series 2012,Bmw 1-Series 2012
Bmw,1-Series,2012,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,28,18,3916,36900,Bmw 1-Series 2012,Bmw 1-Series 2012
Bmw,1-Series,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,27,18,3916,37200,Bmw 1-Series 2013,Bmw 1-Series 2013
Bmw,1-Series,2013,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,39600,Bmw 1-Series 2013,Bmw 1-Series 2013
Bmw,1-Series,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,19,3916,31500,Bmw 1-Series 2013,Bmw 1-Series 2013
Bmw,1-Series,2013,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,28,19,3916,44400,Bmw 1-Series 2013,Bmw 1-Series 2013
Bmw,1-Series,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,28,19,3916,37200,Bmw 1-Series 2013,Bmw 1-Series 2013
Bmw,1-Series,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,19,3916,31500,Bmw 1-Series 2013,Bmw 1-Series 2013
Bmw,1-Series,2013,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,25,18,3916,48250,Bmw 1-Series 2013,Bmw 1-Series 2013
Bmw,1-Series,2013,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,43550,Bmw 1-Series 2013,Bmw 1-Series 2013
Fiat,124-Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,27495,Fiat 124-Spider 2017,Fiat 124-Spider 2017
Fiat,124-Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,24995,Fiat 124-Spider 2017,Fiat 124-Spider 2017
Fiat,124-Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,28195,Fiat 124-Spider 2017,Fiat 124-Spider 2017
Bmw,2-Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,35,23,3916,32850,Bmw 2-Series 2016,Bmw 2-Series 2016
Bmw,2-Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Compact,Convertible,34,23,3916,38650,Bmw 2-Series 2016,Bmw 2-Series 2016
Bmw,2-Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,31,20,3916,48750,Bmw 2-Series 2016,Bmw 2-Series 2016
Bmw,2-Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,2.0,"Luxury,Performance",Compact,Coupe,35,23,3916,34850,Bmw 2-Series 2016,Bmw 2-Series 2016
Bmw,2-Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,2.0,Luxury,Compact,Convertible,34,22,3916,40650,Bmw 2-Series 2016,Bmw 2-Series 2016
Bmw,2-Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,20,3916,44150,Bmw 2-Series 2016,Bmw 2-Series 2016
Bmw,2-Series,2016,premium unleaded (required),240.0,4.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,34,22,3916,32850,Bmw 2-Series 2016,Bmw 2-Series 2016
Bmw,2-Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,30,20,3916,46150,Bmw 2-Series 2016,Bmw 2-Series 2016
Bmw,2-Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,30,20,3916,50750,Bmw 2-Series 2016,Bmw 2-Series 2016
Bmw,2-Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,21,3916,46450,Bmw 2-Series 2017,Bmw 2-Series 2017
Bmw,2-Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21,3916,49050,Bmw 2-Series 2017,Bmw 2-Series 2017
Bmw,2-Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21,3916,51050,Bmw 2-Series 2017,Bmw 2-Series 2017
Bmw,2-Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,32,21,3916,44450,Bmw 2-Series 2017,Bmw 2-Series 2017
Bmw,2-Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,34,23,3916,38950,Bmw 2-Series 2017,Bmw 2-Series 2017
