Year,Make,Model,Category,updatedAt,mmy,mmy2
2020,Audi,Q3,SUV,2020-01-27T20:44:17.665Z,Audi Q3 2020,Audi Q3 2020
2020,Chevrolet,Malibu,Sedan,2020-01-27T20:44:17.665Z,Chevrolet Malibu 2020,Chevrolet Malibu 2020
2020,Cadillac,Escalade-Esv,SUV,2020-01-27T20:44:17.665Z,Cadillac Escalade-Esv 2020,Cadillac Escalade-Esv 2020
2020,Chevrolet,Corvette,"Coupe, Convertible",2020-01-27T20:44:17.665Z,Chevrolet Corvette 2020,Chevrolet Corvette 2020
2020,Acura,Rlx,Sedan,2020-01-27T20:44:17.665Z,Acura Rlx 2020,Acura Rlx 2020
2020,Chevrolet,Silverado-2500-Hd-Crew-Cab,Pickup,2020-01-27T20:44:17.665Z,Chevrolet Silverado-2500-Hd-Crew-Cab 2020,Chevrolet Silverado-2500-Hd-Crew-Cab 2020
2020,Bmw,3-Series,Sedan,2020-01-27T20:44:17.665Z,Bmw 3-Series 2020,Bmw 3-Series 2020
2020,Chrysler,Pacifica,Van/Minivan,2020-01-27T20:44:17.665Z,Chrysler Pacifica 2020,Chrysler Pacifica 2020
2020,Chevrolet,Colorado-Crew-Cab,Pickup,2020-01-27T20:44:17.665Z,Chevrolet Colorado-Crew-Cab 2020,Chevrolet Colorado-Crew-Cab 2020
2020,Bmw,X3,SUV,2020-01-27T20:44:17.665Z,Bmw X3 2020,Bmw X3 2020
2020,Acura,Tlx,Sedan,2020-01-27T20:44:17.665Z,Acura Tlx 2020,Acura Tlx 2020
2020,Chevrolet,Silverado-3500-Hd-Crew-Cab,Pickup,2020-01-27T20:44:17.665Z,Chevrolet Silverado-3500-Hd-Crew-Cab 2020,Chevrolet Silverado-3500-Hd-Crew-Cab 2020
2020,Bmw,7-Series,Sedan,2020-01-27T20:44:17.665Z,Bmw 7-Series 2020,Bmw 7-Series 2020
2020,Ford,Fusion,Sedan,2020-01-27T20:44:17.665Z,Ford Fusion 2020,Ford Fusion 2020
2020,Buick,Envision,SUV,2020-01-27T20:44:17.665Z,Buick Envision 2020,Buick Envision 2020
2020,Audi,Sq5,SUV,2020-01-27T20:44:17.665Z,Audi Sq5 2020,Audi Sq5 2020
2020,Audi,R8,"Coupe, Convertible",2020-01-27T20:44:17.665Z,Audi R8 2020,Audi R8 2020
2020,Chevrolet,Traverse,SUV,2020-01-27T20:44:17.665Z,Chevrolet Traverse 2020,Chevrolet Traverse 2020
2020,Acura,Mdx,SUV,2020-01-27T20:44:17.665Z,Acura Mdx 2020,Acura Mdx 2020
2020,Infiniti,Qx80,SUV,2020-01-27T20:44:17.666Z,Infiniti Qx80 2020,Infiniti Qx80 2020
2020,Buick,Encore,SUV,2020-01-27T20:44:17.665Z,Buick Encore 2020,Buick Encore 2020
2020,Gmc,Sierra-2500-Hd-Crew-Cab,Pickup,2020-01-27T20:44:17.665Z,Gmc Sierra-2500-Hd-Crew-Cab 2020,Gmc Sierra-2500-Hd-Crew-Cab 2020
